"","text","linenumber","chapter"
"49","comers. Indeed you must go, for it will be impossible for _us_ to visit",49,1
"50","him, if you do not.""",50,1
"51","""You are over scrupulous surely. I dare say Mr. Bingley will be very",51,1
"52","glad to see you; and I will send a few lines by you to assure him of my",52,1
"53","hearty consent to his marrying which ever he chuses of the girls; though",53,1
"54","I must throw in a good word for my little Lizzy.""",54,1
"55","""I desire you will do no such thing. Lizzy is not a bit better than the",55,1
"56","others; and I am sure she is not half so handsome as Jane, nor half so",56,1
"57","good humoured as Lydia. But you are always giving _her_ the",57,1
"58","preference.""",58,1
"59","""They have none of them much to recommend them,"" replied he; ""they are",59,1
"60","all silly and ignorant like other girls; but Lizzy has something more of",60,1
"61","quickness than her sisters.""",61,1
"62","""Mr. Bennet, how can you abuse your own children in such a way? You take",62,1
"63","delight in vexing me. You have no compassion on my poor nerves.""",63,1
"64","""You mistake me, my dear. I have a high respect for your nerves. They",64,1
"65","are my old friends. I have heard you mention them with consideration",65,1
"66","these twenty years at least.""",66,1
"67","""Ah! you do not know what I suffer.""",67,1
"68","""But I hope you will get over it, and live to see many young men of four",68,1
"69","thousand a year come into the neighbourhood.""",69,1
"70","""It will be no use to us, if twenty such should come since you will not",70,1
"71","visit them.""",71,1
"72","""Depend upon it, my dear, that when there are twenty, I will visit them",72,1
"73","all.""",73,1
"74","Mr. Bennet was so odd a mixture of quick parts, sarcastic humour,",74,1
"75","reserve, and caprice, that the experience of three and twenty years had",75,1
"76","been insufficient to make his wife understand his character. _Her_ mind",76,1
"77","was less difficult to develope. She was a woman of mean understanding,",77,1
"78","little information, and uncertain temper. When she was discontented she",78,1
"79","fancied herself nervous. The business of her life was to get her",79,1
"80","daughters married; its solace was visiting and news.",80,1
"81","Mr. Bennet was among the earliest of those who waited on Mr. Bingley. He",81,2
"82","had always intended to visit him, though to the last always assuring his",82,2
"83","wife that he should not go; and till the evening after the visit was",83,2
"84","paid, she had no knowledge of it. It was then disclosed in the following",84,2
"85","manner. Observing his second daughter employed in trimming a hat, he",85,2
"86","suddenly addressed her with,",86,2
"87","""I hope Mr. Bingley will like it Lizzy.""",87,2
"88","""We are not in a way to know _what_ Mr. Bingley likes,"" said her mother",88,2
"89","resentfully, ""since we are not to visit.""",89,2
"90","""But you forget, mama,"" said Elizabeth, ""that we shall meet him at the",90,2
"91","assemblies, and that Mrs. Long has promised to introduce him.""",91,2
"92","""I do not believe Mrs. Long will do any such thing. She has two nieces",92,2
"93","of her own. She is a selfish, hypocritical woman, and I have no opinion",93,2
"94","of her.""",94,2
"95","""No more have I,"" said Mr. Bennet; ""and I am glad to find that you do",95,2
"96","not depend on her serving you.""",96,2
"97","Mrs. Bennet deigned not to make any reply; but unable to contain",97,2
"98","herself, began scolding one of her daughters.",98,2
"99","""Don't keep coughing so, Kitty, for heaven's sake! Have a little",99,2
"100","compassion on my nerves. You tear them to pieces.""",100,2
"101","""Kitty has no discretion in her coughs,"" said her father; ""she times",101,2
"102","them ill.""",102,2
"103","""I do not cough for my own amusement,"" replied Kitty fretfully.",103,2
"104","""When is your next ball to be, Lizzy?""",104,2
"105","""To-morrow fortnight.""",105,2
"106","""Aye, so it is,"" cried her mother, ""and Mrs. Long does not come back",106,2
"107","till the day before; so, it will be impossible for her to introduce him,",107,2
"108","for she will not know him herself.""",108,2
"109","""Then, my dear, you may have the advantage of your friend, and introduce",109,2
"110","Mr. Bingley to _her_.""",110,2
"111","""Impossible, Mr. Bennet, impossible, when I am not acquainted with him",111,2
"112","myself; how can you be so teazing?""",112,2
"113","""I honour your circumspection. A fortnight's acquaintance is certainly",113,2
"114","very little. One cannot know what a man really is by the end of a",114,2
"115","fortnight. But if _we_ do not venture, somebody else will; and after",115,2
"116","all, Mrs. Long and her nieces must stand their chance; and therefore, as",116,2
"117","she will think it an act of kindness, if you decline the office, I will",117,2
"118","take it on myself.""",118,2
"119","The girls stared at their father. Mrs. Bennet said only, ""Nonsense,",119,2
"120","nonsense!""",120,2
"121","""What can be the meaning of that emphatic exclamation?"" cried he. ""Do",121,2
"122","you consider the forms of introduction, and the stress that is laid on",122,2
"123","them, as nonsense? I cannot quite agree with you _there_. What say you,",123,2
"124","Mary? for you are a young lady of deep reflection I know, and read great",124,2
"125","books, and make extracts.""",125,2
"126","Mary wished to say something very sensible, but knew not how.",126,2
"127","""While Mary is adjusting her ideas,"" he continued, ""let us return to Mr.",127,2
"128","Bingley.""",128,2
"129","""I am sick of Mr. Bingley,"" cried his wife.",129,2
"130","""I am sorry to hear _that_; but why did not you tell me so before? If I",130,2
"131","had known as much this morning, I certainly would not have called on",131,2
"132","him. It is very unlucky; but as I have actually paid the visit, we",132,2
"133","cannot escape the acquaintance now.""",133,2
"134","The astonishment of the ladies was just what he wished; that of Mrs.",134,2
"135","Bennet perhaps surpassing the rest; though when the first tumult of joy",135,2
"136","was over, she began to declare that it was what she had expected all the",136,2
"137","while.",137,2
"138","""How good it was in you, my dear Mr. Bennet! But I knew I should",138,2
"139","persuade you at last. I was sure you loved your girls too well to",139,2
"140","neglect such an acquaintance. Well, how pleased I am! and it is such a",140,2
"141","good joke, too, that you should have gone this morning, and never said",141,2
"142","a word about it till now.""",142,2
"143","""Now, Kitty, you may cough as much as you chuse,"" said Mr. Bennet; and,",143,2
"144","as he spoke, he left the room, fatigued with the raptures of his wife.",144,2
"145","""What an excellent father you have, girls,"" said she, when the door was",145,2
"146","shut. ""I do not know how you will ever make him amends for his kindness;",146,2
"147","or me either, for that matter. At our time of life, it is not so",147,2
"148","pleasant I can tell you, to be making new acquaintance every day; but",148,2
"149","for your sakes, we would do any thing. Lydia, my love, though you _are_",149,2
"150","the youngest, I dare say Mr. Bingley will dance with you at the next",150,2
"151","ball.""",151,2
"152","""Oh!"" said Lydia stoutly, ""I am not afraid; for though I _am_ the",152,2
"153","youngest, I'm the tallest.""",153,2
"154","The rest of the evening was spent in conjecturing how soon he would",154,2
"155","return Mr. Bennet's visit, and determining when they should ask him to",155,2
"156","dinner.",156,2
"157","Not all that Mrs. Bennet, however, with the assistance of her five",157,3
"158","daughters, could ask on the subject was sufficient to draw from her",158,3
"159","husband any satisfactory description of Mr. Bingley. They attacked him",159,3
"160","in various ways; with barefaced questions, ingenious suppositions, and",160,3
"161","distant surmises; but he eluded the skill of them all; and they were at",161,3
"162","last obliged to accept the second-hand intelligence of their neighbour",162,3
"163","Lady Lucas. Her report was highly favourable. Sir William had been",163,3
"164","delighted with him. He was quite young, wonderfully handsome, extremely",164,3
"165","agreeable, and to crown the whole, he meant to be at the next assembly",165,3
"166","with a large party. Nothing could be more delightful! To be fond of",166,3
"167","dancing was a certain step towards falling in love; and very lively",167,3
"168","hopes of Mr. Bingley's heart were entertained.",168,3
"169","""If I can but see one of my daughters happily settled at Netherfield,""",169,3
"170","said Mrs. Bennet to her husband, ""and all the others equally well",170,3
"171","married, I shall have nothing to wish for.""",171,3
"172","In a few days Mr. Bingley returned Mr. Bennet's visit, and sat about ten",172,3
"173","minutes with him in his library. He had entertained hopes of being",173,3
"174","admitted to a sight of the young ladies, of whose beauty he had heard",174,3
"175","much; but he saw only the father. The ladies were somewhat more",175,3
"176","fortunate, for they had the advantage of ascertaining from an upper",176,3
"177","window, that he wore a blue coat and rode a black horse.",177,3
"178","An invitation to dinner was soon afterwards dispatched; and already had",178,3
"179","Mrs. Bennet planned the courses that were to do credit to her",179,3
"180","housekeeping, when an answer arrived which deferred it all. Mr. Bingley",180,3
"181","was obliged to be in town the following day, and consequently unable to",181,3
"182","accept the honour of their invitation, &c. Mrs. Bennet was quite",182,3
"183","disconcerted. She could not imagine what business he could have in town",183,3
"184","so soon after his arrival in Hertfordshire; and she began to fear that",184,3
"185","he might be always flying about from one place to another, and never",185,3
"186","settled at Netherfield as he ought to be. Lady Lucas quieted her fears a",186,3
"187","little by starting the idea of his being gone to London only to get a",187,3
"188","large party for the ball; and a report soon followed that Mr. Bingley",188,3
"189","was to bring twelve ladies and seven gentlemen with him to the assembly.",189,3
"190","The girls grieved over such a number of ladies; but were comforted the",190,3
"191","day before the ball by hearing, that instead of twelve, he had brought",191,3
"192","only six with him from London, his five sisters and a cousin. And when",192,3
"193","the party entered the assembly room, it consisted of only five",193,3
"194","altogether; Mr. Bingley, his two sisters, the husband of the eldest, and",194,3
"195","another young man.",195,3
"196","Mr. Bingley was good looking and gentleman-like; he had a pleasant",196,3
"197","countenance, and easy, unaffected manners. His sisters were fine women,",197,3
"198","with an air of decided fashion. His brother-in-law, Mr. Hurst, merely",198,3
"199","looked the gentleman; but his friend Mr. Darcy soon drew the attention",199,3
"200","of the room by his fine, tall person, handsome features, noble mien; and",200,3
"201","the report which was in general circulation within five minutes after",201,3
"202","his entrance, of his having ten thousand a year. The gentlemen",202,3
"203","pronounced him to be a fine figure of a man, the ladies declared he was",203,3
"204","much handsomer than Mr. Bingley, and he was looked at with great",204,3
"205","admiration for about half the evening, till his manners gave a disgust",205,3
"206","which turned the tide of his popularity; for he was discovered to be",206,3
"207","proud, to be above his company, and above being pleased; and not all his",207,3
"208","large estate in Derbyshire could then save him from having a most",208,3
"209","forbidding, disagreeable countenance, and being unworthy to be compared",209,3
"210","with his friend.",210,3
"211","Mr. Bingley had soon made himself acquainted with all the principal",211,3
"212","people in the room; he was lively and unreserved, danced every dance,",212,3
"213","was angry that the ball closed so early, and talked of giving one",213,3
"214","himself at Netherfield. Such amiable qualities must speak for",214,3
"215","themselves. What a contrast between him and his friend! Mr. Darcy danced",215,3
"216","only once with Mrs. Hurst and once with Miss Bingley, declined being",216,3
"217","introduced to any other lady, and spent the rest of the evening in",217,3
"218","walking about the room, speaking occasionally to one of his own party.",218,3
"219","His character was decided. He was the proudest, most disagreeable man in",219,3
"220","the world, and every body hoped that he would never come there again.",220,3
"221","Amongst the most violent against him was Mrs. Bennet, whose dislike of",221,3
"222","his general behaviour, was sharpened into particular resentment, by his",222,3
"223","having slighted one of her daughters.",223,3
"224","Elizabeth Bennet had been obliged, by the scarcity of gentlemen, to sit",224,3
"225","down for two dances; and during part of that time, Mr. Darcy had been",225,3
"226","standing near enough for her to overhear a conversation between him and",226,3
"227","Mr. Bingley, who came from the dance for a few minutes, to press his",227,3
"228","friend to join it.",228,3
"229","""Come, Darcy,"" said he, ""I must have you dance. I hate to see you",229,3
"230","standing about by yourself in this stupid manner. You had much better",230,3
"231","dance.""",231,3
"232","""I certainly shall not. You know how I detest it, unless I am",232,3
"233","particularly acquainted with my partner. At such an assembly as this, it",233,3
"234","would be insupportable. Your sisters are engaged, and there is not",234,3
"235","another woman in the room, whom it would not be a punishment to me to",235,3
"236","stand up with.""",236,3
"237","""I would not be so fastidious as you are,"" cried Bingley, ""for a",237,3
"238","kingdom! Upon my honour, I never met with so many pleasant girls in my",238,3
"239","life, as I have this evening; and there are several of them you see",239,3
"240","uncommonly pretty.""",240,3
"241","""_You_ are dancing with the only handsome girl in the room,"" said Mr.",241,3
"242","Darcy, looking at the eldest Miss Bennet.",242,3
"243","""Oh! she is the most beautiful creature I ever beheld! But there is one",243,3
"244","of her sisters sitting down just behind you, who is very pretty, and I",244,3
"245","dare say, very agreeable. Do let me ask my partner to introduce you.""",245,3
"246","""Which do you mean?"" and turning round, he looked for a moment at",246,3
"247","Elizabeth, till catching her eye, he withdrew his own and coldly said,",247,3
"248","""She is tolerable; but not handsome enough to tempt _me_; and I am in no",248,3
"249","humour at present to give consequence to young ladies who are slighted",249,3
"250","by other men. You had better return to your partner and enjoy her",250,3
"251","smiles, for you are wasting your time with me.""",251,3
"252","Mr. Bingley followed his advice. Mr. Darcy walked off; and Elizabeth",252,3
"253","remained with no very cordial feelings towards him. She told the story",253,3
"254","however with great spirit among her friends; for she had a lively,",254,3
"255","playful disposition, which delighted in any thing ridiculous.",255,3
"256","The evening altogether passed off pleasantly to the whole family. Mrs.",256,3
"257","Bennet had seen her eldest daughter much admired by the Netherfield",257,3
"258","party. Mr. Bingley had danced with her twice, and she had been",258,3
"259","distinguished by his sisters. Jane was as much gratified by this, as her",259,3
"260","mother could be, though in a quieter way. Elizabeth felt Jane's",260,3
"261","pleasure. Mary had heard herself mentioned to Miss Bingley as the most",261,3
"262","accomplished girl in the neighbourhood; and Catherine and Lydia had been",262,3
"263","fortunate enough to be never without partners, which was all that they",263,3
"264","had yet learnt to care for at a ball. They returned therefore in good",264,3
"265","spirits to Longbourn, the village where they lived, and of which they",265,3
"266","were the principal inhabitants. They found Mr. Bennet still up. With a",266,3
"267","book he was regardless of time; and on the present occasion he had a",267,3
"268","good deal of curiosity as to the event of an evening which had raised",268,3
"269","such splendid expectations. He had rather hoped that all his wife's",269,3
"270","views on the stranger would be disappointed; but he soon found that he",270,3
"271","had a very different story to hear.",271,3
"272","""Oh! my dear Mr. Bennet,"" as she entered the room, ""we have had a most",272,3
"273","delightful evening, a most excellent ball. I wish you had been there.",273,3
"274","Jane was so admired, nothing could be like it. Every body said how well",274,3
"275","she looked; and Mr. Bingley thought her quite beautiful, and danced with",275,3
"276","her twice. Only think of _that_ my dear; he actually danced with her",276,3
"277","twice; and she was the only creature in the room that he asked a second",277,3
"278","time. First of all, he asked Miss Lucas. I was so vexed to see him stand",278,3
"279","up with her; but, however, he did not admire her at all: indeed, nobody",279,3
"280","can, you know; and he seemed quite struck with Jane as she was going",280,3
"281","down the dance. So, he enquired who she was, and got introduced, and",281,3
"282","asked her for the two next. Then, the two third he danced with Miss",282,3
"283","King, and the two fourth with Maria Lucas, and the two fifth with Jane",283,3
"284","again, and the two sixth with Lizzy, and the Boulanger----""",284,3
"285","""If he had had any compassion for _me_,"" cried her husband impatiently,",285,3
"286","""he would not have danced half so much! For God's sake, say no more of",286,3
"287","his partners. Oh! that he had sprained his ancle in the first dance!""",287,3
"288","""Oh! my dear,"" continued Mrs. Bennet, ""I am quite delighted with him. He",288,3
"289","is so excessively handsome! and his sisters are charming women. I never",289,3
"290","in my life saw any thing more elegant than their dresses. I dare say the",290,3
"291","lace upon Mrs. Hurst's gown----""",291,3
"292","Here she was interrupted again. Mr. Bennet protested against any",292,3
"293","description of finery. She was therefore obliged to seek another branch",293,3
"294","of the subject, and related, with much bitterness of spirit and some",294,3
"295","exaggeration, the shocking rudeness of Mr. Darcy.",295,3
"296","""But I can assure you,"" she added, ""that Lizzy does not lose much by not",296,3
"297","suiting _his_ fancy; for he is a most disagreeable, horrid man, not at",297,3
"298","all worth pleasing. So high and so conceited that there was no enduring",298,3
"299","him! He walked here, and he walked there, fancying himself so very",299,3
"300","great! Not handsome enough to dance with! I wish you had been there, my",300,3
"301","dear, to have given him one of your set downs. I quite detest the man.""",301,3
"302","When Jane and Elizabeth were alone, the former, who had been cautious in",302,4
"303","her praise of Mr. Bingley before, expressed to her sister how very much",303,4
"304","she admired him.",304,4
"305","""He is just what a young man ought to be,"" said she, ""sensible, good",305,4
"306","humoured, lively; and I never saw such happy manners!--so much ease,",306,4
"307","with such perfect good breeding!""",307,4
"308","""He is also handsome,"" replied Elizabeth, ""which a young man ought",308,4
"309","likewise to be, if he possibly can. His character is thereby complete.""",309,4
"310","""I was very much flattered by his asking me to dance a second time. I",310,4
"311","did not expect such a compliment.""",311,4
"312","""Did not you? _I_ did for you. But that is one great difference between",312,4
"313","us. Compliments always take _you_ by surprise, and _me_ never. What",313,4
"314","could be more natural than his asking you again? He could not help",314,4
"315","seeing that you were about five times as pretty as every other woman in",315,4
"316","the room. No thanks to his gallantry for that. Well, he certainly is",316,4
"317","very agreeable, and I give you leave to like him. You have liked many a",317,4
"318","stupider person.""",318,4
"319","""Dear Lizzy!""",319,4
"320","""Oh! you are a great deal too apt you know, to like people in general.",320,4
"321","You never see a fault in any body. All the world are good and agreeable",321,4
"322","in your eyes. I never heard you speak ill of a human being in my life.""",322,4
"323","""I would wish not to be hasty in censuring any one; but I always speak",323,4
"324","what I think.""",324,4
"325","""I know you do; and it is _that_ which makes the wonder. With _your_",325,4
"326","good sense, to be so honestly blind to the follies and nonsense of",326,4
"327","others! Affectation of candour is common enough;--one meets it every",327,4
"328","where. But to be candid without ostentation or design--to take the good",328,4
"329","of every body's character and make it still better, and say nothing of",329,4
"330","the bad--belongs to you alone. And so, you like this man's sisters too,",330,4
"331","do you? Their manners are not equal to his.""",331,4
"332","""Certainly not; at first. But they are very pleasing women when you",332,4
"333","converse with them. Miss Bingley is to live with her brother and keep",333,4
"334","his house; and I am much mistaken if we shall not find a very charming",334,4
"335","neighbour in her.""",335,4
"336","Elizabeth listened in silence, but was not convinced; their behaviour at",336,4
"337","the assembly had not been calculated to please in general; and with more",337,4
"338","quickness of observation and less pliancy of temper than her sister, and",338,4
"339","with a judgment too unassailed by any attention to herself, she was very",339,4
"340","little disposed to approve them. They were in fact very fine ladies; not",340,4
"341","deficient in good humour when they were pleased, nor in the power of",341,4
"342","being agreeable where they chose it; but proud and conceited. They were",342,4
"343","rather handsome, had been educated in one of the first private",343,4
"344","seminaries in town, had a fortune of twenty thousand pounds, were in the",344,4
"345","habit of spending more than they ought, and of associating with people",345,4
"346","of rank; and were therefore in every respect entitled to think well of",346,4
"347","themselves, and meanly of others. They were of a respectable family in",347,4
"348","the north of England; a circumstance more deeply impressed on their",348,4
"349","memories than that their brother's fortune and their own had been",349,4
"350","acquired by trade.",350,4
"351","Mr. Bingley inherited property to the amount of nearly an hundred",351,4
"352","thousand pounds from his father, who had intended to purchase an estate,",352,4
"353","but did not live to do it.--Mr. Bingley intended it likewise, and",353,4
"354","sometimes made choice of his county; but as he was now provided with a",354,4
"355","good house and the liberty of a manor, it was doubtful to many of those",355,4
"356","who best knew the easiness of his temper, whether he might not spend the",356,4
"357","remainder of his days at Netherfield, and leave the next generation to",357,4
"358","purchase.",358,4
"359","His sisters were very anxious for his having an estate of his own; but",359,4
"360","though he was now established only as a tenant, Miss Bingley was by no",360,4
"361","means unwilling to preside at his table, nor was Mrs. Hurst, who had",361,4
"362","married a man of more fashion than fortune, less disposed to consider",362,4
"363","his house as her home when it suited her. Mr. Bingley had not been of",363,4
"364","age two years, when he was tempted by an accidental recommendation to",364,4
"365","look at Netherfield House. He did look at it and into it for half an",365,4
"366","hour, was pleased with the situation and the principal rooms, satisfied",366,4
"367","with what the owner said in its praise, and took it immediately.",367,4
"368","Between him and Darcy there was a very steady friendship, in spite of a",368,4
"369","great opposition of character.--Bingley was endeared to Darcy by the",369,4
"370","easiness, openness, ductility of his temper, though no disposition could",370,4
"371","offer a greater contrast to his own, and though with his own he never",371,4
"372","appeared dissatisfied. On the strength of Darcy's regard Bingley had the",372,4
"373","firmest reliance, and of his judgment the highest opinion. In",373,4
"374","understanding Darcy was the superior. Bingley was by no means deficient,",374,4
"375","but Darcy was clever. He was at the same time haughty, reserved, and",375,4
"376","fastidious, and his manners, though well bred, were not inviting. In",376,4
"377","that respect his friend had greatly the advantage. Bingley was sure of",377,4
"378","being liked wherever he appeared, Darcy was continually giving offence.",378,4
"379","The manner in which they spoke of the Meryton assembly was sufficiently",379,4
"380","characteristic. Bingley had never met with pleasanter people or prettier",380,4
"381","girls in his life; every body had been most kind and attentive to him,",381,4
"382","there had been no formality, no stiffness, he had soon felt acquainted",382,4
"383","with all the room; and as to Miss Bennet, he could not conceive an angel",383,4
"384","more beautiful. Darcy, on the contrary, had seen a collection of people",384,4
"385","in whom there was little beauty and no fashion, for none of whom he had",385,4
"386","felt the smallest interest, and from none received either attention or",386,4
"387","pleasure. Miss Bennet he acknowledged to be pretty, but she smiled too",387,4
"388","much.",388,4
"389","Mrs. Hurst and her sister allowed it to be so--but still they admired",389,4
"390","her and liked her, and pronounced her to be a sweet girl, and one whom",390,4
"391","they should not object to know more of. Miss Bennet was therefore",391,4
"392","established as a sweet girl, and their brother felt authorised by such",392,4
"393","commendation to think of her as he chose.",393,4
"394","Within a short walk of Longbourn lived a family with whom the Bennets",394,5
"395","were particularly intimate. Sir William Lucas had been formerly in trade",395,5
"396","in Meryton, where he had made a tolerable fortune and risen to the",396,5
"397","honour of knighthood by an address to the King, during his mayoralty.",397,5
"398","The distinction had perhaps been felt too strongly. It had given him a",398,5
"399","disgust to his business and to his residence in a small market town; and",399,5
"400","quitting them both, he had removed with his family to a house about a",400,5
"401","mile from Meryton, denominated from that period Lucas Lodge, where he",401,5
"402","could think with pleasure of his own importance, and unshackled by",402,5
"403","business, occupy himself solely in being civil to all the world. For",403,5
"404","though elated by his rank, it did not render him supercilious; on the",404,5
"405","contrary, he was all attention to every body. By nature inoffensive,",405,5
"406","friendly and obliging, his presentation at St. James's had made him",406,5
"407","courteous.",407,5
"408","Lady Lucas was a very good kind of woman, not too clever to be a",408,5
"409","valuable neighbour to Mrs. Bennet.--They had several children. The",409,5
"410","eldest of them, a sensible, intelligent young woman, about twenty-seven,",410,5
"411","was Elizabeth's intimate friend.",411,5
"412","That the Miss Lucases and the Miss Bennets should meet to talk over a",412,5
"413","ball was absolutely necessary; and the morning after the assembly",413,5
"414","brought the former to Longbourn to hear and to communicate.",414,5
"415","""_You_ began the evening well, Charlotte,"" said Mrs. Bennet with civil",415,5
"416","self-command to Miss Lucas. ""_You_ were Mr. Bingley's first choice.""",416,5
"417","""Yes;--but he seemed to like his second better.""",417,5
"418","""Oh!--you mean Jane, I suppose--because he danced with her twice. To be",418,5
"419","sure that _did_ seem as if he admired her--indeed I rather believe he",419,5
"420","_did_--I heard something about it--but I hardly know what--something",420,5
"421","about Mr. Robinson.""",421,5
"422","""Perhaps you mean what I overheard between him and Mr. Robinson; did not",422,5
"423","I mention it to you? Mr. Robinson's asking him how he liked our Meryton",423,5
"424","assemblies, and whether he did not think there were a great many pretty",424,5
"425","women in the room, and _which_ he thought the prettiest? and his",425,5
"426","answering immediately to the last question--Oh! the eldest Miss Bennet",426,5
"427","beyond a doubt, there cannot be two opinions on that point.""",427,5
"428","""Upon my word!--Well, that was very decided indeed--that does seem as",428,5
"429","if----but however, it may all come to nothing you know.""",429,5
"430","""_My_ overhearings were more to the purpose than _yours_, Eliza,"" said",430,5
"431","Charlotte. ""Mr. Darcy is not so well worth listening to as his friend,",431,5
"432","is he?--Poor Eliza!--to be only just _tolerable_.""",432,5
"433","""I beg you would not put it into Lizzy's head to be vexed by his",433,5
"434","ill-treatment; for he is such a disagreeable man that it would be quite",434,5
"435","a misfortune to be liked by him. Mrs. Long told me last night that he",435,5
"436","sat close to her for half an hour without once opening his lips.""",436,5
"437","""Are you quite sure, Ma'am?--is not there a little mistake?"" said",437,5
"438","Jane.--""I certainly saw Mr. Darcy speaking to her.""",438,5
"439","""Aye--because she asked him at last how he liked Netherfield, and he",439,5
"440","could not help answering her;--but she said he seemed very angry at",440,5
"441","being spoke to.""",441,5
"442","""Miss Bingley told me,"" said Jane, ""that he never speaks much unless",442,5
"443","among his intimate acquaintance. With _them_ he is remarkably",443,5
"444","agreeable.""",444,5
"445","""I do not believe a word of it, my dear. If he had been so very",445,5
"446","agreeable he would have talked to Mrs. Long. But I can guess how it was;",446,5
"447","every body says that he is ate up with pride, and I dare say he had",447,5
"448","heard somehow that Mrs. Long does not keep a carriage, and had come to",448,5
"449","the ball in a hack chaise.""",449,5
"450","""I do not mind his not talking to Mrs. Long,"" said Miss Lucas, ""but I",450,5
"451","wish he had danced with Eliza.""",451,5
"452","""Another time, Lizzy,"" said her mother, ""I would not dance with _him_,",452,5
"453","if I were you.""",453,5
"454","""I believe, Ma'am, I may safely promise you _never_ to dance with him.""",454,5
"455","""His pride,"" said Miss Lucas, ""does not offend _me_ so much as pride",455,5
"456","often does, because there is an excuse for it. One cannot wonder that so",456,5
"457","very fine a young man, with family, fortune, every thing in his favour,",457,5
"458","should think highly of himself. If I may so express it, he has a _right_",458,5
"459","to be proud.""",459,5
"460","""That is very true,"" replied Elizabeth, ""and I could easily forgive",460,5
"461","_his_ pride, if he had not mortified _mine_.""",461,5
"462","""Pride,"" observed Mary, who piqued herself upon the solidity of her",462,5
"463","reflections, ""is a very common failing I believe. By all that I have",463,5
"464","ever read, I am convinced that it is very common indeed, that human",464,5
"465","nature is particularly prone to it, and that there are very few of us",465,5
"466","who do not cherish a feeling of self-complacency on the score of some",466,5
"467","quality or other, real or imaginary. Vanity and pride are different",467,5
"468","things, though the words are often used synonimously. A person may be",468,5
"469","proud without being vain. Pride relates more to our opinion of",469,5
"470","ourselves, vanity to what we would have others think of us.""",470,5
"471","""If I were as rich as Mr. Darcy,"" cried a young Lucas who came with his",471,5
"472","sisters, ""I should not care how proud I was. I would keep a pack of",472,5
"473","foxhounds, and drink a bottle of wine every day.""",473,5
"474","""Then you would drink a great deal more than you ought,"" said Mrs.",474,5
"475","Bennet; ""and if I were to see you at it I should take away your bottle",475,5
"476","directly.""",476,5
"477","The boy protested that she should not; she continued to declare that she",477,5
"478","would, and the argument ended only with the visit.",478,5
"479","The ladies of Longbourn soon waited on those of Netherfield. The visit",479,6
"480","was returned in due form. Miss Bennet's pleasing manners grew on the",480,6
"481","good will of Mrs. Hurst and Miss Bingley; and though the mother was",481,6
"482","found to be intolerable and the younger sisters not worth speaking to, a",482,6
"483","wish of being better acquainted with _them_, was expressed towards the",483,6
"484","two eldest. By Jane this attention was received with the greatest",484,6
"485","pleasure; but Elizabeth still saw superciliousness in their treatment of",485,6
"486","every body, hardly excepting even her sister, and could not like them;",486,6
